feature,importance_mean,importance_std
temperature_motor_roll_mean_6,0.6469812556396222,0.011614243768922405
rpm_roll_mean_6,0.48337445942751567,0.008686515201820474
pressure_level_roll_mean_6,0.1052185997379876,0.005729598250164935
vibration_rms_roll_mean_6,0.10512399466723354,0.007741793356669213
rpm,0.07098509697055953,0.010360434161080826
current_phase_avg_roll_mean_6,0.029326020396852365,0.004444576541887578
hours_since_maintenance,0.017182974875259466,0.0019235258001294245
vibration_rms,0.012827150719907685,0.004554930591762346
temperature_motor,0.01006362752231292,0.005269410334019275
dayofweek,0.006656232981489568,0.002641024607917131
temperature_motor_roll_std_6,0.004578267001165023,0.0024131976001856618
rpm_roll_std_6,0.0037116254683728506,0.001314168102427263
current_phase_avg_roll_std_6,0.003580251428456749,0.0019404917472039746
current_phase_avg,0.0032207377004779686,0.00278155094290138
operating_mode,0.0026466288596474624,0.0011155746049901724
is_weekend,0.0026131421089128914,0.000872968091511106
pressure_level,0.0021236711766919325,0.00169182264498425
hour,0.0016224228335055824,0.003043727324272922
anomaly_trend,0.0008700870087008927,0.0008700870087008927
hours_since_maintenance_roll_std_6,0.0006525652565256695,0.0008424581236124964
rpm_diff_1,0.0006525652565256695,0.0008424581236124964
ambient_temp_roll_std_6,0.0006076348985804697,0.0007861670302009244
health_score,0.000455812923202098,0.0016844672755109112
hours_since_maintenance_diff_1,0.0,0.0
ambient_temp,0.0,0.0
temperature_motor_diff_1,0.0,0.0
vibration_rms_diff_1,0.0,0.0
month,0.0,0.0
current_phase_avg_diff_1,0.0,0.0
ambient_temp_roll_mean_6,0.0,0.0
ambient_temp_diff_1,0.0,0.0
pressure_level_diff_1,-0.0006504151238846956,0.0008396823143089532
machine_type,-0.0014490122238166314,0.0013772112810305234
pressure_level_roll_std_6,-0.0015176352890642897,0.0005736122222513905
hours_since_maintenance_roll_mean_6,-0.00237441147156614,0.0010988337166054915
vibration_rms_roll_std_6,-0.0024919467092958114,0.005379661818649013
